Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
55.666668,15.018507,82.0,33.0,55.666666666666664,46.859814,16.293137,110.0,11.0,46.85981308411215,71.01189422607422,85342,15.058928728103638,,16
46.409092,17.68836,84.0,17.0,46.40909090909091,46.648148,14.016731,97.0,10.0,46.648148148148145,69.79680633544922,90380,15.917469263076782,,17
56.0,23.619795,111.0,30.0,56.0,48.23077,15.490835,124.0,17.0,48.23076923076923,71.60786437988281,95396,16.782498121261597,,18
53.210526,14.802485,82.0,29.0,53.21052631578947,50.19,17.290283,120.0,9.0,50.19,75.68046569824219,100415,17.636847496032715,,19
66.75,19.718328,99.0,33.0,66.75,56.595505,20.538656,122.0,11.0,56.59550561797753,86.09002685546875,105452,18.50455331802368,,20
56.789474,21.478456,104.0,26.0,56.78947368421053,57.666668,23.667555,138.0,23.0,57.666666666666664,90.7836685180664,110469,19.372682809829712,,21
70.2,32.096104,155.0,33.0,70.2,57.022728,24.978617,199.0,27.0,57.02272727272727,91.7033462524414,115487,20.235613107681274,,22
52.15,17.550713,88.0,25.0,52.15,66.60526,26.25236,170.0,27.0,66.60526315789474,102.73265075683594,120549,21.09924006462097,,23
75.28571,32.51028,130.0,29.0,75.28571428571429,66.73333,30.469364,178.0,25.0,66.73333333333333,107.61180877685547,125554,21.956023693084717,,24
92.27273,30.217667,134.0,45.0,92.27272727272727,76.742424,30.272156,169.0,30.0,76.74242424242425,119.04088592529297,130619,22.81082320213318,,25
83.916664,26.405361,147.0,50.0,83.91666666666667,70.92958,27.598898,151.0,22.0,70.92957746478874,108.9373550415039,135655,23.658103466033936,,26
90.90909,47.329514,182.0,46.0,90.9090909090909,72.73913,35.12861,183.0,25.0,72.73913043478261,120.26138305664062,140674,24.50626826286316,,27
72.53333,38.751972,157.0,22.0,72.53333333333333,68.520546,27.310045,176.0,26.0,68.52054794520548,106.29249572753906,145676,25.367396593093872,,28
68.8,33.976856,146.0,23.0,68.8,78.703125,37.861454,171.0,22.0,78.703125,128.42672729492188,150713,26.228580236434937,,29
75.71429,32.078983,143.0,33.0,75.71428571428571,77.09231,37.259064,167.0,12.0,77.0923076923077,127.69379425048828,155724,27.08936905860901,,30
86.0,40.82687,175.0,27.0,86.0,79.39683,36.83707,180.0,28.0,79.39682539682539,126.37701416015625,160726,27.940985679626465,,31
93.818184,51.77542,214.0,39.0,93.81818181818181,77.09231,43.50445,235.0,22.0,77.0923076923077,133.9304656982422,165737,28.795520782470703,,32
111.63636,55.205853,233.0,49.0,111.63636363636364,84.91525,40.353226,220.0,24.0,84.91525423728814,137.2100067138672,170747,29.688698768615723,,33
71.78571,33.203224,146.0,31.0,71.78571428571429,91.181816,43.6403,249.0,29.0,91.18181818181819,145.05392456054688,175762,30.537500143051147,,34
80.07692,39.064957,167.0,24.0,80.07692307692308,79.8125,37.322025,172.0,24.0,79.8125,126.77459716796875,180870,31.401583433151245,,35
104.7,41.238453,153.0,29.0,104.7,92.70909,41.28115,191.0,27.0,92.7090909090909,144.748046875,185969,32.269208669662476,,36
102.5,45.75205,187.0,39.0,102.5,86.13559,42.446957,215.0,23.0,86.13559322033899,141.45541381835938,191051,33.130547523498535,,37
128.875,66.53653,237.0,50.0,128.875,91.25455,50.568485,229.0,23.0,91.25454545454545,156.74581909179688,196070,33.98236322402954,,38
171.5,88.85147,321.0,42.0,171.5,109.565216,55.472145,241.0,32.0,109.56521739130434,179.66384887695312,201110,34.83887839317322,,39
158.14285,49.348404,208.0,48.0,158.14285714285714,132.1282,80.45454,337.0,26.0,132.12820512820514,232.60714721679688,206263,35.71909761428833,,40
90.75,25.110174,128.0,47.0,90.75,125.275,55.54502,222.0,23.0,125.275,191.78677368164062,211274,36.57673978805542,,41
86.25,14.330184,108.0,52.0,86.25,98.23529,29.66981,157.0,12.0,98.23529411764706,138.67681884765625,216284,37.44187831878662,,42
71.5,5.9009686,84.0,62.0,71.5,80.031746,14.094881,105.0,35.0,80.03174603174604,107.19020080566406,221326,38.29660630226135,,43
60.882355,7.8656535,76.0,48.0,60.88235294117647,68.45946,9.268064,95.0,28.0,68.45945945945945,88.79017639160156,226392,39.16392731666565,,44
58.72222,4.828222,67.0,47.0,58.72222222222222,61.07317,8.923496,80.0,12.0,61.073170731707314,79.22537231445312,231400,40.02067852020264,,45
55.0,6.357755,70.0,46.0,55.0,56.977272,6.9232435,69.0,13.0,56.97727272727273,73.46533203125,236414,40.873061180114746,,46
53.473682,4.2719207,62.0,47.0,53.473684210526315,52.082474,12.775354,70.0,6.0,52.08247422680412,70.73760223388672,241466,41.72752356529236,,47
55.05263,3.5314183,65.0,50.0,55.05263157894737,52.85263,8.0680895,67.0,10.0,52.85263157894737,68.8990478515625,246487,42.5840847492218,,48
53.36842,10.131818,62.0,14.0,53.36842105263158,53.51064,9.114805,73.0,7.0,53.51063829787234,70.11558532714844,251517,43.444323778152466,,49
56.444443,12.915203,68.0,8.0,56.44444444444444,54.695652,7.237792,64.0,13.0,54.69565217391305,70.96714782714844,256549,44.3114960193634,,50
57.38889,6.9852138,75.0,46.0,57.388888888888886,56.897728,6.789095,68.0,12.0,56.89772727272727,71.72685241699219,261556,45.177873849868774,,51
62.875,3.887078,71.0,54.0,62.875,59.97619,5.091955,74.0,45.0,59.976190476190474,77.31720733642578,266594,46.03192758560181,,52
68.666664,6.8378034,80.0,60.0,68.66666666666667,62.9875,5.957125,82.0,48.0,62.9875,80.43266296386719,271633,46.89583373069763,,53
73.5,6.7691526,87.0,60.0,73.5,68.432434,6.657816,84.0,51.0,68.43243243243244,87.5288314819336,276697,47.763988733291626,,54
85.083336,8.371164,104.0,75.0,85.08333333333333,74.338234,6.4707723,89.0,59.0,74.33823529411765,93.47191619873047,281752,48.62547183036804,,55
105.1,9.994498,125.0,90.0,105.1,84.9661,8.325916,104.0,68.0,84.96610169491525,107.96439361572266,286765,49.48626637458801,,56
117.333336,17.139946,146.0,88.0,117.33333333333333,98.01923,10.315207,120.0,79.0,98.01923076923077,123.46852111816406,291862,50.35543990135193,,57
150.42857,25.38198,207.0,122.0,150.42857142857142,119.333336,15.549715,165.0,94.0,119.33333333333333,151.40814208984375,296874,51.21031737327576,,58
176.66667,24.870779,205.0,132.0,176.66666666666666,140.25,21.366348,182.0,103.0,140.25,180.1690216064453,301923,52.070863246917725,,59
188.66667,31.72626,230.0,155.0,188.66666666666666,161.65625,25.244566,225.0,125.0,161.65625,208.19273376464844,307096,52.9588360786438,,60
187.0,40.918617,256.0,141.0,187.0,187.81482,50.606716,289.0,41.0,187.8148148148148,254.7609100341797,312167,53.83241415023804,,61
320.2,225.68686,758.0,154.0,320.2,222.43478,65.63392,427.0,155.0,222.43478260869566,300.5694580078125,317283,54.78179407119751,,62
134.5,28.04015,199.0,110.0,134.5,210.875,51.937714,374.0,135.0,210.875,279.68267822265625,322344,55.6455979347229,,63
113.111115,18.125761,140.0,87.0,113.11111111111111,140.69444,35.485382,260.0,98.0,140.69444444444446,186.85504150390625,327409,56.50796842575073,,64
101.3,10.982259,117.0,81.0,101.3,113.73333,15.411972,153.0,94.0,113.73333333333333,145.33917236328125,332527,57.3760130405426,,65
106.4,12.729493,125.0,88.0,106.4,105.3125,15.565929,179.0,77.0,105.3125,137.2225799560547,337582,58.242778062820435,,66
119.44444,16.486433,146.0,97.0,119.44444444444444,104.770836,15.338187,171.0,83.0,104.77083333333333,135.0963897705078,342611,59.10882306098938,,67
121.44444,18.756397,163.0,95.0,121.44444444444444,114.431816,18.521975,179.0,86.0,114.43181818181819,147.32186889648438,347646,59.974953174591064,,68
118.77778,26.540443,185.0,91.0,118.77777777777777,119.166664,26.319391,231.0,74.0,119.16666666666667,156.21438598632812,352651,60.84029960632324,,69
137.625,20.796259,175.0,108.0,137.625,122.414635,25.096863,196.0,86.0,122.41463414634147,160.76651000976562,357670,61.703097105026245,,70
143.125,43.590244,222.0,86.0,143.125,132.92105,33.31222,287.0,96.0,132.92105263157896,176.66738891601562,362721,62.57825946807861,,71
140.625,41.35498,230.0,88.0,140.625,141.02777,39.966297,292.0,89.0,141.02777777777777,191.7247314453125,367798,63.45075750350952,,72
126.44444,50.701984,230.0,87.0,126.44444444444444,163.3871,66.043335,431.0,97.0,163.38709677419354,236.104248046875,372863,64.33666753768921,,73
87.25,9.670617,115.0,77.0,87.25,107.23404,22.92561,204.0,77.0,107.23404255319149,140.163330078125,377903,65.20498967170715,,74
84.083336,11.485196,113.0,65.0,84.08333333333333,89.33929,13.757175,137.0,64.0,89.33928571428571,114.41480255126953,382906,66.05108571052551,,75
74.64286,6.693356,84.0,61.0,74.64285714285714,81.70968,9.689348,114.0,67.0,81.70967741935483,104.68710327148438,387972,66.91402864456177,,76
69.333336,9.378463,101.0,56.0,69.33333333333333,74.19118,8.091858,106.0,62.0,74.19117647058823,93.80274200439453,393017,67.76707816123962,,77
66.0,5.645795,78.0,56.0,66.0,70.18056,7.071709,85.0,58.0,70.18055555555556,88.88896179199219,398070,68.63779544830322,,78
66.875,9.245776,97.0,59.0,66.875,66.3421,7.356616,92.0,47.0,66.34210526315789,85.35826110839844,403112,69.50594067573547,,79
62.875,4.5672064,72.0,57.0,62.875,65.14286,5.6008215,79.0,54.0,65.14285714285714,83.07711791992188,408128,70.36032104492188,,80
67.066666,8.1360655,81.0,48.0,67.06666666666666,65.53247,6.1276126,87.0,52.0,65.53246753246754,82.61377716064453,413174,71.21772575378418,,81
70.0,7.0427265,86.0,61.0,70.0,67.12,7.260781,84.0,54.0,67.12,86.16179656982422,418208,72.07828068733215,,82
71.78571,7.17315,84.0,62.0,71.78571428571429,69.0,6.3504934,91.0,56.0,69.0,87.46871185302734,423245,72.95128202438354,,83
85.0,10.082989,97.0,66.0,85.0,76.57576,10.013719,108.0,60.0,76.57575757575758,97.91695404052734,428299,73.8104510307312,,84
106.2,21.502558,143.0,72.0,106.2,81.96722,11.897055,115.0,57.0,81.9672131147541,104.13538360595703,433299,74.67400360107422,,85
131.0,49.094296,241.0,87.0,131.0,99.62745,20.652077,176.0,69.0,99.62745098039215,130.0515899658203,438380,75.5369942188263,,86
103.3,23.528917,162.0,81.0,103.3,124.02439,42.3824,301.0,73.0,124.02439024390245,173.40216064453125,443465,76.3954918384552,,87
94.09091,21.685581,158.0,75.0,94.0909090909091,101.5,21.683405,171.0,68.0,101.5,133.18753051757812,448540,77.26018214225769,,88
77.76923,6.8965306,98.0,68.0,77.76923076923077,91.8,21.725897,207.0,66.0,91.8,122.36672973632812,453589,78.12183666229248,,89
79.61539,15.750646,123.0,57.0,79.61538461538461,84.1,14.824191,152.0,64.0,84.1,108.77806854248047,458635,78.97720122337341,,90
79.61539,8.1101885,92.0,67.0,79.61538461538461,80.111115,13.80144,125.0,55.0,80.11111111111111,102.1823501586914,463682,79.83696174621582,,91
74.85714,13.6321945,114.0,61.0,74.85714285714286,82.459015,15.031741,141.0,64.0,82.45901639344262,106.73925018310547,468712,80.6928915977478,,92
82.46154,17.265419,137.0,66.0,82.46153846153847,82.09836,17.466318,148.0,59.0,82.09836065573771,108.82008361816406,473720,81.5465841293335,,93
106.5,29.052538,184.0,73.0,106.5,87.48276,21.853937,180.0,52.0,87.48275862068965,116.00265502929688,478794,82.40792083740234,,94
101.2,25.407871,162.0,75.0,101.2,95.49056,27.011265,168.0,59.0,95.49056603773585,127.89713287353516,483855,83.26056432723999,,95
110.9,14.272,141.0,87.0,110.9,115.34091,24.849497,195.0,71.0,115.3409090909091,150.5060577392578,488930,84.13055086135864,,96
90.666664,28.859816,152.0,58.0,90.66666666666667,97.21154,23.470387,179.0,56.0,97.21153846153847,129.78033447265625,493985,84.98874163627625,,97
79.15385,27.225119,163.0,54.0,79.15384615384616,85.42373,20.584019,164.0,60.0,85.42372881355932,113.51850128173828,499025,85.83550119400024,,98
74.14286,11.425893,99.0,61.0,74.14285714285714,78.125,21.127218,200.0,55.0,78.125,104.14063262939453,504025,86.70521402359009,,99
